"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
665833,"Cruz, Oneil",818,0.9058693244739756,553,"78.789158068",0.7836185819070906,0.32368896925858953,0.21882640586797067,0.24773960216998192,0.16748166259168704,"7.760677592",19,-21.06072956724763,265,0.32396088019559904,271,0.3312958435207824
691406,"Caminero, Junior",1090,0.9068219633943427,839,"78.539181982",0.8110091743119268,0.2908224076281287,0.22385321100917432,0.22407628128724671,0.1724770642201835,"8.417281284",21,2.374002459884199,251,0.23027522935779818,427,0.39174311926605504
691023,"Walker, Jordan",686,0.9050131926121372,465,"78.069257522",0.7784256559766762,0.26666666666666666,0.18075801749271136,0.2,0.13556851311953352,"8.258906224",21,-19.14626067890846,221,0.32215743440233235,231,0.336734693877551
666176,"Adell, Jo",1032,0.9028871391076115,779,"77.613888062",0.7335271317829457,0.26187419768934533,0.19767441860465115,0.19127086007702182,0.14437984496124032,"7.728556453",30,0.6673684378131393,253,0.2451550387596899,354,0.3430232558139535
656941,"Schwarber, Kyle",1138,0.9003164556962026,807,"77.316244517",0.7706502636203867,0.322180916976456,0.22847100175746923,0.24659231722428748,0.17486818980667837,"7.530869815",51,11.19915332074341,331,0.29086115992970124,385,0.3383128295254833
701762,"Kurtz, Nick",731,0.9103362391033624,488,"77.211195171",0.7264021887824899,0.2930327868852459,0.19562243502051985,0.22131147540983606,0.14774281805745554,"7.705810629",18,22.429127053526123,243,0.332421340629275,242,0.33105335157318744
592450,"Judge, Aaron",1015,0.9022222222222223,685,"76.992197803",0.716256157635468,0.3416058394160584,0.23054187192118228,0.2510948905109489,0.16945812807881774,"8.109203547",35,34.14853191953661,330,0.3251231527093596,347,0.341871921182266
665489,"Guerrero Jr., Vladimir",927,0.9124015748031497,734,"76.664463484",0.6774541531823085,0.37193460490463215,0.29449838187702265,0.2574931880108992,0.20388349514563106,"7.632336192",8,4.929227111202003,193,0.20819848975188782,454,0.48975188781014023
670242,"Wallner, Matt",693,0.90234375,448,"76.567157042",0.6854256854256854,0.25223214285714285,0.16305916305916307,0.16964285714285715,0.10966810966810966,"7.422964863",21,-3.6821847534461254,245,0.35353535353535354,204,0.2943722943722944
677594,"Rodríguez, Julio",1212,0.905829596412556,884,"76.437334686",0.6386138613861387,0.3076923076923077,0.22442244224422442,0.19796380090497737,0.1443894389438944,"7.674201295",19,-2.488492786667159,328,0.2706270627062706,458,0.3778877887788779
660670,"Acuña Jr., Ronald",707,0.8994910941475827,502,"76.414268656",0.6732673267326732,0.28286852589641437,0.20084865629420084,0.199203187250996,0.14144271570014144,"7.593044752",17,1.8901222995738354,205,0.28995756718529,226,0.31966053748231965
695578,"Wood, James",1029,0.901840490797546,721,"76.045597784",0.6268221574344023,0.3356449375866852,0.23517978620019436,0.2274618585298197,0.15937803692905733,"7.660401516",44,-1.1969703349949747,308,0.29931972789115646,353,0.3430515063168124
575929,"Contreras, Willson",926,0.9034146341463415,666,"75.993222084",0.6209503239740819,0.2912912912912913,0.20950323974082075,0.1831831831831832,0.13174946004319654,"7.962314244",14,-10.202626987773302,260,0.28077753779697623,319,0.3444924406047516
680718,"Barger, Addison",855,0.9076433121019108,641,"75.928020187",0.6269005847953215,0.30577223088923555,0.22923976608187135,0.2059282371294852,0.1543859649122807,"7.657877567",7,-13.72368764769065,214,0.25029239766081873,316,0.3695906432748538
663586,"Riley, Austin",800,0.9019165727170236,577,"75.887103088",0.6050000000000001,0.2755632582322357,0.19875,0.1923743500866551,0.13875,"7.567306888",18,-14.124676305059127,223,0.27875,265,0.33125
660821,"Sánchez, Jesús",826,0.9066959385290889,621,"75.851158487",0.5883777239709441,0.30434782608695654,0.2288135593220339,0.18679549114331723,0.14043583535108958,"6.918172554",14,-24.850545723080977,205,0.24818401937046006,316,0.38256658595641646
660271,"Ohtani, Shohei",1149,0.9025923016496465,788,"75.848867685",0.618798955613577,0.36421319796954316,0.24978241949521324,0.26015228426395937,0.1784160139251523,"7.932627581",14,25.066754931089132,361,0.31418624891209745,389,0.33855526544821585
673357,"Robert Jr., Luis",723,0.9026217228464419,518,"75.613043555",0.5739972337482712,0.28378378378378377,0.2033195020746888,0.1640926640926641,0.11756569847856155,"7.81207177",19,-14.895848723691127,205,0.2835408022130014,257,0.355463347164592
682985,"Greene, Riley",1255,0.9074475777295734,866,"75.60623192",0.5721115537848608,0.24595842956120093,0.1697211155378486,0.151270207852194,0.10438247011952191,"7.274556876",6,-13.09729666895655,389,0.3099601593625498,359,0.2860557768924303
683002,"Henderson, Gunnar",1061,0.9122957867583835,821,"75.340720999",0.5344015080113101,0.32399512789281365,0.25070688030160226,0.20341047503045068,0.15739868049010367,"7.278690434",21,-14.388135040916989,240,0.22620169651272384,417,0.3930254476908577
686948,"Baldwin, Drake",778,0.9067599067599068,638,"75.302231992",0.5642673521850898,0.31191222570532917,0.25578406169665807,0.1896551724137931,0.15552699228791775,"7.184185013",9,-1.551116636470625,140,0.17994858611825193,316,0.40616966580976865
624413,"Alonso, Pete",1133,0.9085805934242182,858,"75.256778967",0.5339805825242718,0.3356643356643357,0.25419240953221534,0.22727272727272727,0.17210944395410416,"7.057215755",15,-3.545842109061484,275,0.24271844660194175,433,0.382171226831421
663728,"Raleigh, Cal",1282,0.9009135628952917,918,"75.240044431",0.5468018720748832,0.2777777777777778,0.19890795631825273,0.17429193899782136,0.12480499219968799,"7.89323259",29,5.855278933115946,364,0.2839313572542902,383,0.29875195007800315
682663,"Ramírez, Agustín",945,0.9104046242774566,719,"75.23016891",0.5544973544973546,0.3198887343532684,0.24338624338624337,0.21557719054242003,0.164021164021164,"7.505137651",19,-21.178508166265892,226,0.23915343915343915,399,0.4222222222222222
663624,"Mountcastle, Ryan",691,0.9092105263157895,477,"75.209663473",0.5267727930535455,0.2746331236897275,0.18958031837916064,0.1509433962264151,0.10419681620839363,"7.532170564",13,-14.229017053904279,214,0.3096960926193922,220,0.3183791606367583
672356,"Arias, Gabriel",911,0.9082751744765702,556,"75.07646303",0.5268935236004391,0.2751798561151079,0.16794731064763996,0.1618705035971223,0.09879253567508232,"7.616500099",22,-29.676175679872376,355,0.3896816684961581,257,0.28210757409440174
621439,"Buxton, Byron",934,0.9050387596899225,665,"75.034829251",0.5053533190578161,0.318796992481203,0.22698072805139186,0.20300751879699247,0.14453961456102785,"7.93421576",15,11.804726778960184,269,0.2880085653104925,332,0.3554603854389722
669065,"Stowers, Kyle",814,0.9024390243902439,566,"75.003284631",0.5171990171990172,0.29858657243816256,0.2076167076167076,0.17491166077738515,0.12162162162162163,"6.737465393",24,4.866741812072933,248,0.3046683046683047,259,0.3181818181818182
656305,"Chapman, Matt",824,0.9064906490649065,627,"74.95186142",0.508495145631068,0.29984051036682613,0.22815533980582525,0.18022328548644337,0.13713592233009708,"7.486535886",20,-15.09182443886757,197,0.23907766990291263,301,0.36529126213592233
683146,"Baty, Brett",717,0.9053030303030303,527,"74.80152152",0.485355648535565,0.3092979127134725,0.22733612273361228,0.174573055028463,0.12831241283124128,"7.358614142",16,-5.184352811514512,190,0.2649930264993027,261,0.36401673640167365
680776,"Duran, Jarren",1090,0.9083333333333333,797,"74.780223881",0.4752293577981654,0.3199498117942284,0.23394495412844038,0.1944792973651192,0.14220183486238533,"7.483983569",21,-15.27128659521644,293,0.26880733944954127,417,0.38256880733944953
657757,"Sheets, Gavin",916,0.9078295341922695,732,"74.776802238",0.5185589519650655,0.3128415300546448,0.25,0.1762295081967213,0.1408296943231441,"7.744474476",20,-10.223614010791835,184,0.20087336244541484,374,0.40829694323144106
682998,"Carroll, Corbin",1082,0.9039264828738512,829,"74.653640647",0.455637707948244,0.3039806996381182,0.23290203327171904,0.1942098914354644,0.1487985212569316,"7.305025518",20,-2.8026556975088526,253,0.23382624768946395,383,0.3539741219963031
669394,"Burger, Jake",648,0.9050279329608939,464,"74.646523071",0.5000000000000001,0.31896551724137934,0.22839506172839505,0.21551724137931033,0.15432098765432098,"7.434226512",13,-15.07549318077617,184,0.2839506172839506,240,0.37037037037037035
606466,"Marte, Ketel",844,0.9075268817204301,663,"74.616460948",0.4549763033175356,0.3559577677224736,0.2796208530805687,0.19306184012066366,0.15165876777251186,"7.834037192",14,-2.6059910510382744,181,0.21445497630331753,365,0.4324644549763033
701358,"Smith, Cam",885,0.9049079754601227,640,"74.498750667",0.4689265536723164,0.2546875,0.18418079096045198,0.1453125,0.10508474576271186,"7.315622395",16,-22.352076323245328,245,0.2768361581920904,294,0.33220338983050846
682829,"De La Cruz, Elly",1083,0.9055183946488294,750,"74.485111062",0.4496768236380424,0.344,0.23822714681440443,0.204,0.14127423822714683,"7.188370813",32,-16.818128744316116,333,0.3074792243767313,409,0.37765466297322253
592518,"Machado, Manny",1185,0.9045801526717557,891,"74.470258042",0.4303797468354431,0.35353535353535354,0.26582278481012656,0.21997755331088664,0.16540084388185655,"7.822820886",20,-16.378292677774738,294,0.2481012658227848,456,0.3848101265822785
671056,"Herrera, Iván",703,0.9059278350515464,549,"74.395397681",0.47652916073968704,0.3224043715846995,0.25177809388335703,0.18761384335154827,0.1465149359886202,"7.840217368",4,-9.02497325400551,154,0.21906116642958748,273,0.3883357041251778
696100,"Goodman, Hunter",1035,0.905511811023622,728,"74.380206309",0.42705314009661843,0.3090659340659341,0.21739130434782608,0.16346153846153846,0.11497584541062802,"7.255008937",27,5.8137131998403735,307,0.2966183574879227,356,0.34396135265700484
677951,"Witt Jr., Bobby",1114,0.9079054604726976,865,"74.337984048",0.4506283662477558,0.34797687861271676,0.27019748653500897,0.2,0.15529622980251345,"7.033936077",24,-2.192873450696047,249,0.22351885098743268,454,0.40754039497307004
671739,"Harris II, Michael",1073,0.9039595619208087,824,"74.324738145",0.40726933830382117,0.3118932038834951,0.23951537744641194,0.18810679611650485,0.14445479962721341,"8.043171855",22,-29.5813911278593,249,0.2320596458527493,438,0.4082013047530289
547180,"Harper, Bryce",1033,0.9013961605584643,734,"74.188664105",0.44336882865440463,0.3010899182561308,0.21393998063891578,0.18392370572207084,0.13068731848983542,"7.340089903",15,-8.685617007501843,299,0.2894482090997096,348,0.33688286544046464
572233,"Walker, Christian",1157,0.9017926734216679,842,"74.121950838",0.4191875540190147,0.28859857482185275,0.21002592912705273,0.16389548693586697,0.11927398444252377,"7.475370778",54,-24.42773764125971,315,0.2722558340535869,380,0.32843560933448573
677800,"Abreu, Wilyer",745,0.9063260340632603,593,"74.113350443",0.4093959731543624,0.2748735244519393,0.21879194630872484,0.16863406408094436,0.1342281879194631,"7.118607423",15,-4.879121689955287,152,0.2040268456375839,265,0.35570469798657717
691176,"Domínguez, Jasson",769,0.9111374407582938,566,"74.059258804",0.38491547464239273,0.28975265017667845,0.21326397919375814,0.17314487632508835,0.12743823146944083,"7.794933602",7,-13.403110579139705,203,0.26397919375812745,254,0.33029908972691807
545361,"Trout, Mike",857,0.9021052631578947,617,"74.049968238",0.4014002333722287,0.2739059967585089,0.1971995332555426,0.16369529983792544,0.11785297549591599,"7.462248705",25,-13.688381473882611,240,0.28004667444574094,262,0.3057176196032672
641857,"McMahon, Ryan",1001,0.9042457091237579,670,"74.025842228",0.4005994005994006,0.31343283582089554,0.2097902097902098,0.1701492537313433,0.11388611388611389,"7.443851459",28,-35.35739927577842,331,0.3306693306693307,299,0.2987012987012987
671218,"Ramos, Heliot",1122,0.9048387096774193,855,"74.003327959",0.44652406417112306,0.32748538011695905,0.24955436720142601,0.1824561403508772,0.13903743315508021,"6.83663451",24,-29.45606812614143,267,0.23796791443850268,430,0.38324420677361853
691016,"Soderstrom, Tyler",959,0.9098671726755219,731,"73.960501168",0.38060479666319086,0.32968536251709984,0.251303441084463,0.2079343365253078,0.15849843587069865,"7.481178843",27,-11.288902389202644,228,0.23774765380604795,376,0.3920750782064651
665487,"Tatis Jr., Fernando",1036,0.9048034934497816,774,"73.960078147",0.4266409266409268,0.3695090439276486,0.27606177606177607,0.21834625322997417,0.16312741312741313,"7.28345333",32,-18.964127098134544,262,0.2528957528957529,415,0.40057915057915056
624424,"Conforto, Michael",835,0.9155701754385965,641,"73.955932287",0.4263473053892215,0.27301092043681746,0.20958083832335328,0.14040561622464898,0.10778443113772455,"7.304327126",7,-34.48168750604039,194,0.23233532934131737,286,0.34251497005988024
621566,"Olson, Matt",1256,0.9088277858176556,940,"73.94386164",0.41321656050955413,0.2925531914893617,0.21894904458598727,0.18085106382978725,0.13535031847133758,"7.47358371",21,-9.3357690779441,316,0.2515923566878981,406,0.3232484076433121
665862,"Chisholm Jr., Jazz",881,0.9054470709146968,608,"73.927217537",0.41884222474460836,0.29605263157894735,0.2043132803632236,0.16282894736842105,0.11237230419977298,"7.803667128",7,-5.460189473406354,273,0.3098751418842225,282,0.32009080590238365
694192,"Chourio, Jackson",992,0.9009990917347865,760,"73.879173498",0.4002016129032258,0.34342105263157896,0.26310483870967744,0.1868421052631579,0.1431451612903226,"7.507009163",22,-5.126552328116259,232,0.23387096774193547,402,0.40524193548387094
664040,"Lowe, Brandon",1055,0.9055793991416309,741,"73.851873033",0.40379146919431286,0.29959514170040485,0.2104265402843602,0.15654520917678813,0.10995260663507109,"7.18868",31,-10.549466401504281,314,0.2976303317535545,341,0.3232227488151659
669127,"Langeliers, Shea",889,0.905295315682281,672,"73.821159348",0.3959505061867267,0.3244047619047619,0.2452193475815523,0.1875,0.14173228346456693,"7.210800765",5,0.41166526696454997,217,0.2440944881889764,351,0.3948256467941507
621043,"Correa, Carlos",927,0.9097154072620216,734,"73.809263398",0.37864077669902896,0.31471389645776565,0.24919093851132687,0.18256130790190736,0.14455231930960086,"7.197621521",15,-11.571003160977604,193,0.20819848975188782,380,0.4099244875943905
666160,"Moniak, Mickey",800,0.8998875140607424,593,"73.765342013",0.37375,0.33220910623946037,0.24625,0.16863406408094436,0.125,"7.673505663",19,3.069839668301928,207,0.25875,314,0.3925
671732,"Butler, Lawrence",1041,0.9028620988725065,719,"73.750080653",0.3919308357348703,0.30598052851182195,0.21133525456292027,0.17663421418636996,0.12199807877041306,"7.081448463",26,-25.230679016128622,322,0.30931796349663787,356,0.34197886647454373
543807,"Springer, George",922,0.9021526418786693,694,"73.743484772",0.4034707158351409,0.3270893371757925,0.24620390455531455,0.18587896253602307,0.1399132321041215,"7.500359111",13,8.405849532400005,228,0.2472885032537961,355,0.38503253796095444
668904,"Lewis, Royce",683,0.9034391534391535,512,"73.64248631",0.3982430453879941,0.33203125,0.24890190336749635,0.16796875,0.1259150805270864,"8.024680059",12,-4.907378367236871,171,0.25036603221083453,263,0.3850658857979502
665742,"Soto, Juan",917,0.8999018645731109,752,"73.594467372",0.40894220283533256,0.3962765957446808,0.3249727371864776,0.2632978723404255,0.2159214830970556,"7.028068844",36,16.117597992119215,165,0.17993456924754633,414,0.4514721919302072
650490,"Díaz, Yandy",979,0.9064814814814814,811,"73.570977436",0.35342185903983653,0.3637484586929716,0.30132788559754853,0.2379778051787916,0.19713993871297242,"7.639619193",9,-6.884815373620713,168,0.17160367722165476,439,0.4484167517875383
667670,"Rooker, Brent",1126,0.9029671210906175,810,"73.547462265",0.35701598579040866,0.3333333333333333,0.23978685612788633,0.17160493827160495,0.12344582593250444,"7.102419014",45,-12.378890722091034,316,0.28063943161634103,435,0.38632326820603907
664056,"Bader, Harrison",835,0.90465872156013,605,"73.527069449",0.3712574850299402,0.28264462809917357,0.20479041916167665,0.15206611570247933,0.11017964071856287,"7.150258299",18,-3.2900956532448813,230,0.2754491017964072,298,0.3568862275449102
595879,"Báez, Javier",738,0.8989037758830695,529,"73.51512607",0.3441734417344172,0.30245746691871456,0.21680216802168023,0.16257088846880907,0.11653116531165311,"8.2668379",10,-9.132474582088708,209,0.28319783197831977,278,0.37669376693766937
663457,"Nootbaar, Lars",807,0.9047085201793722,650,"73.436411289",0.37794299876084264,0.36,0.2899628252788104,0.19384615384615383,0.15613382899628253,"6.894047968",20,-24.9363266140116,157,0.19454770755885997,355,0.4399008674101611
669224,"Wells, Austin",807,0.9036954087346024,604,"73.426844994",0.3110285006195786,0.2947019867549669,0.22057001239157373,0.1672185430463576,0.1251548946716233,"7.595962491",12,-13.4594613860047,203,0.25154894671623296,274,0.3395291201982652
676572,"Wagaman, Eric",778,0.9036004645760743,609,"73.418307545",0.36632390745501286,0.3760262725779967,0.2943444730077121,0.19540229885057472,0.15295629820051415,"7.128526028",26,-15.695383701919724,169,0.21722365038560412,356,0.45758354755784064
700250,"Rice, Ben",780,0.9090909090909091,629,"73.40694141",0.3448717948717949,0.3863275039745628,0.31153846153846154,0.24006359300476948,0.1935897435897436,"7.361684654",15,-2.507814666224787,151,0.1935897435897436,340,0.4358974358974359
502054,"Pham, Tommy",644,0.9057665260196905,506,"73.400016863",0.32763975155279507,0.3715415019762846,0.2919254658385093,0.18181818181818182,0.14285714285714285,"7.027149317",10,-13.38018681997886,138,0.21428571428571427,274,0.4254658385093168
592885,"Yelich, Christian",1053,0.901541095890411,760,"73.379729421",0.3561253561253561,0.3236842105263158,0.2336182336182336,0.18289473684210528,0.13200379867046533,"7.537375935",23,-10.400925066798692,293,0.27825261158594494,381,0.36182336182336183
673548,"Suzuki, Seiya",988,0.9006381039197813,782,"73.36558583",0.3714574898785425,0.33248081841432225,0.2631578947368421,0.19053708439897699,0.1508097165991903,"7.222298613",26,-0.9202503506370752,206,0.20850202429149797,397,0.4018218623481781
